Reporting Area,MMWR Year,MMWR Week,"Mumps, Current week","Mumps, Current week, flag","Mumps, Previous 52 weeks Max†","Mumps, Previous 52 weeks Max†, flag","Mumps, Cum 2020†","Mumps, Cum 2020†, flag","Mumps, Cum 2019†","Mumps, Cum 2019†, flag","Novel influenza A virus infections§, Current week","Novel influenza A virus infections§, Current week, flag","Novel influenza A virus infections§, Previous 52 weeks Max†","Novel influenza A virus infections§, Previous 52 weeks Max†, flag","Novel influenza A virus infections§, Cum 2020†","Novel influenza A virus infections§, Cum 2020†, flag","Novel influenza A virus infections§, Cum 2019†","Novel influenza A virus infections§, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
MICHIGAN,2020,40,,-,1,,3,,21,,,-,0,,,-,,-,MICHIGAN,,20204017,POINT (-85.730977 44.874798)
GEORGIA,2020,40,,-,1,,2,,46,,,-,0,,,-,,-,GEORGIA,,20204032,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,40,,-,11,,62,,114,,,-,0,,,-,,-,,NEW YORK CITY,20204012,
ARKANSAS,2020,40,,-,13,,8,,22,,,-,0,,,-,,-,ARKANSAS,,20204044,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,40,,-,1,,2,,43,,,-,0,,,-,,-,MISSISSIPPI,,20204041,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,40,,-,2,,,-,8,,,-,0,,,-,,-,SOUTH DAKOTA,,20204027,POINT (-100.230491 44.43614)
WYOMING,2020,40,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20204056,POINT (-107.55145 42.999627)
MISSOURI,2020,40,,-,15,,67,,23,,,-,0,,,-,,-,MISSOURI,,20204024,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,40,,-,24,,130,,585,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20204009,
CALIFORNIA,2020,40,,-,30,,70,,223,,,-,0,,,-,,-,CALIFORNIA,,20204059,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,40,,-,0,,,-,2,,,-,0,,,-,,-,WEST VIRGINIA,,20204037,POINT (-80.613729 38.642579)
FLORIDA,2020,40,1,,6,,21,,130,,,-,0,,,-,,-,FLORIDA,,20204031,POINT (-82.420978 28.260731)
MONTANA,2020,40,,-,1,,1,,17,,,-,0,,,-,,-,MONTANA,,20204052,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,40,,-,15,,78,,143,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20204020,
MASSACHUSETTS,2020,40,,-,4,,18,,50,,,-,0,,,-,,-,MASSACHUSETTS,,20204005,POINT (-71.481104 42.151077)
MOUNTAIN,2020,40,,-,6,,42,,236,,,-,0,,,-,,-,,MOUNTAIN,20204048,
INDIANA,2020,40,,-,3,,1,,79,,,-,0,,,-,,-,INDIANA,,20204016,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,40,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20204069,
US TERRITORIES,2020,40,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20204063,
TOTAL,2020,41,1,,98,,577,,2936,,,-,1,,1,,,-,,TOTAL,20204170,
US RESIDENTS,2020,41,1,,98,,577,,2936,,,-,1,,1,,,-,,US RESIDENTS,20204101,
NEW HAMPSHIRE,2020,41,,-,3,,8,,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,20204106,POINT (-71.57139 43.680429)
NEW YORK,2020,41,,-,5,,35,,45,,,-,0,,,-,,-,NEW YORK,,20204111,POINT (-75.59655 42.921241)
PACIFIC,2020,41,,-,59,,79,,262,,,-,1,,1,,,-,,PACIFIC,20204157,
WEST SOUTH CENTRAL,2020,41,,-,36,,67,,927,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20204143,
NEBRASKA,2020,41,,-,4,,1,,75,,,-,0,,,-,,-,NEBRASKA,,20204125,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,41,,-,21,,13,,95,,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20204138,
NORTH DAKOTA,2020,41,,-,1,,3,,14,,,-,0,,,-,,-,NORTH DAKOTA,,20204126,POINT (-100.46931 47.446305)
NEVADA,2020,41,,-,1,,1,,1,,,-,0,,,-,,-,NEVADA,,20204153,POINT (-114.916992 39.283294)
ILLINOIS,2020,41,,-,3,,22,,77,,,-,0,,,-,,-,ILLINOIS,,20204115,POINT (-89.148632 40.124144)
IOWA,2020,41,,-,2,,7,,11,,,-,0,,,-,,-,IOWA,,20204121,POINT (-93.500061 42.074659)
TEXAS,2020,41,,-,13,,15,,725,,,-,0,,,-,,-,TEXAS,,20204147,POINT (-99.317341 31.447238)
ALASKA,2020,41,,-,0,,,-,1,,,-,0,,,-,,-,ALASKA,,20204158,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,41,,-,1,,,-,3,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20204130,POINT (-77.016275 38.904785)
WASHINGTON,2020,41,,-,55,,5,,,-,,-,0,,,-,,-,WASHINGTON,,20204162,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,41,,-,9,,47,,68,,,-,0,,,-,,-,,NEW ENGLAND,20204102,
RHODE ISLAND,2020,41,,-,1,,,-,8,,,-,0,,,-,,-,RHODE ISLAND,,20204107,POINT (-71.534637 41.572574)
OREGON,2020,41,,-,2,,1,,25,,,-,0,,,-,,-,OREGON,,20204161,POINT (-120.605279 43.940449)
DELAWARE,2020,41,,-,3,,7,,2,,,-,0,,,-,,-,DELAWARE,,20204129,POINT (-75.452394 38.994926)
ALABAMA,2020,41,,-,1,,3,,10,,,-,0,,,-,,-,ALABAMA,,20204139,POINT (-86.844516 32.756889)
KANSAS,2020,41,,-,1,,,-,5,,,-,0,,,-,,-,KANSAS,,20204122,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,41,,-,10,,19,,52,,,-,0,,,-,,-,NORTH CAROLINA,,20204134,POINT (-79.130883 35.52603)
GUAM,2020,41,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20204166,POINT (144.653198 13.3532)
NEW JERSEY,2020,41,,-,5,,9,,48,,,-,0,,,-,,-,NEW JERSEY,,20204110,POINT (-74.655514 40.110253)
NEW MEXICO,2020,41,,-,1,,,-,41,,,-,0,,,-,,-,NEW MEXICO,,20204154,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,41,,-,7,,44,,264,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20204114,
TENNESSEE,2020,41,,-,21,,5,,36,,,-,0,,,-,,-,TENNESSEE,,20204142,POINT (-86.343226 35.842998)
CONNECTICUT,2020,41,,-,6,,18,,3,,,-,0,,,-,,-,CONNECTICUT,,20204103,POINT (-72.738288 41.575155)
MARYLAND,2020,41,,-,1,,4,,15,,,-,0,,,-,,-,MARYLAND,,20204133,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,41,,-,19,,16,,19,,,-,0,,,-,,-,SOUTH CAROLINA,,20204135,POINT (-80.864614 33.878572)
OKLAHOMA,2020,41,,-,2,,2,,6,,,-,0,,,-,,-,OKLAHOMA,,20204146,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,41,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20204165,POINT (145.725693 15.1834)
OHIO,2020,41,,-,2,,10,,57,,,-,0,,,-,,-,OHIO,,20204118,POINT (-82.70936 40.415534)
MINNESOTA,2020,41,,-,1,,,-,11,,,-,0,,,-,,-,MINNESOTA,,20204123,POINT (-94.198308 46.349153)
LOUISIANA,2020,41,,-,20,,42,,173,,,-,0,,,-,,-,LOUISIANA,,20204145,POINT (-91.840238 30.921314)
HAWAII,2020,41,,-,1,,1,,1,,,-,1,,1,,,-,HAWAII,,20204160,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,41,,-,27,,75,,327,,,-,0,,,-,,-,,SOUTH ATLANTIC,20204128,
PENNSYLVANIA,2020,41,,-,14,,24,,386,,,-,0,,,-,,-,PENNSYLVANIA,,20204113,POINT (-77.838886 40.896694)
UTAH,2020,41,,-,1,,3,,24,,,-,0,,,-,,-,UTAH,,20204155,POINT (-111.678222 39.323779)
COLORADO,2020,41,,-,6,,29,,62,,,-,0,,,-,,-,COLORADO,,20204150,POINT (-105.547832 38.998552)
VERMONT,2020,41,,-,1,,2,,2,,,-,0,,,-,,-,VERMONT,,20204108,POINT (-72.662695 44.075252)
KENTUCKY,2020,41,,-,1,,3,,6,,,-,0,,,-,,-,KENTUCKY,,20204140,POINT (-85.290484 37.526683)
PUERTO RICO,2020,41,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20204167,POINT (-66.414655 18.215692)
MAINE,2020,41,,-,1,,1,,5,,,-,0,,,-,,-,MAINE,,20204104,POINT (-69.06137 45.117911)
VIRGINIA,2020,41,,-,4,,6,,58,,,-,0,,,-,,-,VIRGINIA,,20204136,POINT (-78.666382 37.510861)
ARIZONA,2020,41,1,,2,,9,,95,,,-,0,,,-,,-,ARIZONA,,20204149,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,41,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20204164,
WISCONSIN,2020,41,,-,2,,8,,27,,,-,0,,,-,,-,WISCONSIN,,20204119,POINT (-89.732969 44.639954)
IDAHO,2020,41,,-,0,,,-,1,,,-,0,,,-,,-,IDAHO,,20204151,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,41,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20204168,POINT (-64.840836 18.060868)
MICHIGAN,2020,41,,-,1,,3,,21,,,-,0,,,-,,-,MICHIGAN,,20204117,POINT (-85.730977 44.874798)
GEORGIA,2020,41,,-,1,,2,,46,,,-,0,,,-,,-,GEORGIA,,20204132,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,41,,-,11,,63,,119,,,-,0,,,-,,-,,NEW YORK CITY,20204112,
ARKANSAS,2020,41,,-,13,,8,,23,,,-,0,,,-,,-,ARKANSAS,,20204144,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,41,,-,1,,2,,43,,,-,0,,,-,,-,MISSISSIPPI,,20204141,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,41,,-,2,,,-,10,,,-,0,,,-,,-,SOUTH DAKOTA,,20204127,POINT (-100.230491 44.43614)
WYOMING,2020,41,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20204156,POINT (-107.55145 42.999627)
MISSOURI,2020,41,,-,15,,67,,28,,,-,0,,,-,,-,MISSOURI,,20204124,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,41,,-,24,,131,,598,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20204109,
CALIFORNIA,2020,41,,-,30,,72,,235,,,-,0,,,-,,-,CALIFORNIA,,20204159,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,41,,-,0,,,-,2,,,-,0,,,-,,-,WEST VIRGINIA,,20204137,POINT (-80.613729 38.642579)
FLORIDA,2020,41,,-,6,,21,,130,,,-,0,,,-,,-,FLORIDA,,20204131,POINT (-82.420978 28.260731)
MONTANA,2020,41,,-,1,,1,,17,,,-,0,,,-,,-,MONTANA,,20204152,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,41,,-,15,,78,,154,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20204120,
MASSACHUSETTS,2020,41,,-,4,,18,,50,,,-,0,,,-,,-,MASSACHUSETTS,,20204105,POINT (-71.481104 42.151077)
MOUNTAIN,2020,41,1,,6,,43,,241,,,-,0,,,-,,-,,MOUNTAIN,20204148,
INDIANA,2020,41,,-,3,,1,,82,,,-,0,,,-,,-,INDIANA,,20204116,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,41,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20204169,
US TERRITORIES,2020,41,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20204163,
NEW ENGLAND,2020,45,,-,9,,47,,77,,,-,0,,,-,,-,,NEW ENGLAND,20204502,
RHODE ISLAND,2020,45,,-,1,,,-,8,,,-,0,,,-,,-,RHODE ISLAND,,20204507,POINT (-71.534637 41.572574)
OREGON,2020,45,,-,2,,2,,26,,,-,0,,,-,,-,OREGON,,20204561,POINT (-120.605279 43.940449)
DELAWARE,2020,45,,-,3,,7,,2,,,-,0,,,-,,-,DELAWARE,,20204529,POINT (-75.452394 38.994926)
ALABAMA,2020,45,,-,1,,4,,11,,,-,0,,,-,,-,ALABAMA,,20204539,POINT (-86.844516 32.756889)
KANSAS,2020,45,,-,1,,2,,5,,,-,0,,,-,,-,KANSAS,,20204522,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,45,,-,6,,19,,77,,,-,0,,,-,,-,NORTH CAROLINA,,20204534,POINT (-79.130883 35.52603)
GUAM,2020,45,,-,0,,,-,1,,,-,0,,,-,,-,GUAM,,20204566,POINT (144.653198 13.3532)
NEW JERSEY,2020,45,,-,4,,9,,58,,,-,0,,,-,,-,NEW JERSEY,,20204510,POINT (-74.655514 40.110253)
NEW MEXICO,2020,45,,-,1,,,-,42,,,-,0,,,-,,-,NEW MEXICO,,20204554,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,45,,-,7,,48,,280,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20204514,
TENNESSEE,2020,45,,-,3,,5,,37,,,-,0,,,-,,-,TENNESSEE,,20204542,POINT (-86.343226 35.842998)
CONNECTICUT,2020,45,,-,6,,18,,3,,,-,0,,,-,,-,CONNECTICUT,,20204503,POINT (-72.738288 41.575155)
MARYLAND,2020,45,,-,1,,4,,17,,,-,0,,,-,,-,MARYLAND,,20204533,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,45,,-,19,,16,,51,,,-,0,,,-,,-,SOUTH CAROLINA,,20204535,POINT (-80.864614 33.878572)
OKLAHOMA,2020,45,,-,2,,2,,6,,,-,0,,,-,,-,OKLAHOMA,,20204546,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,45,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20204565,POINT (145.725693 15.1834)
OHIO,2020,45,,-,2,,10,,60,,,-,0,,,-,,-,OHIO,,20204518,POINT (-82.70936 40.415534)
MINNESOTA,2020,45,,-,0,,,-,11,,,-,0,,,-,,-,MINNESOTA,,20204523,POINT (-94.198308 46.349153)
LOUISIANA,2020,45,,-,20,,42,,176,,,-,0,,,-,,-,LOUISIANA,,20204545,POINT (-91.840238 30.921314)
HAWAII,2020,45,,-,1,,1,,1,,,-,1,,1,,,-,HAWAII,,20204560,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,45,,-,27,,76,,396,,,-,0,,,-,,-,,SOUTH ATLANTIC,20204528,
PENNSYLVANIA,2020,45,,-,11,,24,,426,,,-,0,,,-,,-,PENNSYLVANIA,,20204513,POINT (-77.838886 40.896694)
UTAH,2020,45,,-,1,,3,,25,,,-,0,,,-,,-,UTAH,,20204555,POINT (-111.678222 39.323779)
COLORADO,2020,45,,-,6,,29,,64,,,-,0,,,-,,-,COLORADO,,20204550,POINT (-105.547832 38.998552)
VERMONT,2020,45,,-,1,,2,,2,,,-,0,,,-,,-,VERMONT,,20204508,POINT (-72.662695 44.075252)
KENTUCKY,2020,45,,-,1,,3,,6,,,-,0,,,-,,-,KENTUCKY,,20204540,POINT (-85.290484 37.526683)
PUERTO RICO,2020,45,,-,0,,,-,3,,,-,0,,,-,,-,PUERTO RICO,,20204567,POINT (-66.414655 18.215692)
TOTAL,2020,46,,-,100,,593,,3321,,,-,1,,1,,,-,,TOTAL,20204670,
US RESIDENTS,2020,46,,-,100,,593,,3317,,,-,1,,1,,,-,,US RESIDENTS,20204601,
NEW HAMPSHIRE,2020,46,,-,3,,8,,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,20204606,POINT (-71.57139 43.680429)
NEW YORK,2020,46,,-,5,,36,,53,,,-,0,,,-,,-,NEW YORK,,20204611,POINT (-75.59655 42.921241)
PACIFIC,2020,46,,-,59,,82,,344,,,-,1,,1,,,-,,PACIFIC,20204657,
WEST SOUTH CENTRAL,2020,46,,-,36,,67,,964,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20204643,
NEBRASKA,2020,46,,-,1,,1,,81,,,-,0,,,-,,-,NEBRASKA,,20204625,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,46,,-,3,,14,,99,,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20204638,
NORTH DAKOTA,2020,46,,-,1,,3,,15,,,-,0,,,-,,-,NORTH DAKOTA,,20204626,POINT (-100.46931 47.446305)
NEVADA,2020,46,,-,1,,1,,1,,,-,0,,,-,,-,NEVADA,,20204653,POINT (-114.916992 39.283294)
ILLINOIS,2020,46,,-,3,,23,,88,,,-,0,,,-,,-,ILLINOIS,,20204615,POINT (-89.148632 40.124144)
IOWA,2020,46,,-,2,,7,,11,,,-,0,,,-,,-,IOWA,,20204621,POINT (-93.500061 42.074659)
TEXAS,2020,46,,-,10,,15,,750,,,-,0,,,-,,-,TEXAS,,20204647,POINT (-99.317341 31.447238)
ALASKA,2020,46,,-,0,,,-,1,,,-,0,,,-,,-,ALASKA,,20204658,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,46,,-,1,,,-,4,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20204630,POINT (-77.016275 38.904785)
WASHINGTON,2020,46,,-,55,,6,,,-,,-,0,,,-,,-,WASHINGTON,,20204662,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,46,,-,9,,47,,78,,,-,0,,,-,,-,,NEW ENGLAND,20204602,
RHODE ISLAND,2020,46,,-,1,,,-,8,,,-,0,,,-,,-,RHODE ISLAND,,20204607,POINT (-71.534637 41.572574)
OREGON,2020,46,,-,2,,2,,26,,,-,0,,,-,,-,OREGON,,20204661,POINT (-120.605279 43.940449)
DELAWARE,2020,46,,-,3,,7,,2,,,-,0,,,-,,-,DELAWARE,,20204629,POINT (-75.452394 38.994926)
ALABAMA,2020,46,,-,1,,4,,12,,,-,0,,,-,,-,ALABAMA,,20204639,POINT (-86.844516 32.756889)
KANSAS,2020,46,,-,1,,2,,5,,,-,0,,,-,,-,KANSAS,,20204622,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,46,,-,6,,19,,81,,,-,0,,,-,,-,NORTH CAROLINA,,20204634,POINT (-79.130883 35.52603)
GUAM,2020,46,,-,0,,,-,1,,,-,0,,,-,,-,GUAM,,20204666,POINT (144.653198 13.3532)
NEW JERSEY,2020,46,,-,3,,9,,61,,,-,0,,,-,,-,NEW JERSEY,,20204610,POINT (-74.655514 40.110253)
NEW MEXICO,2020,46,,-,1,,,-,43,,,-,0,,,-,,-,NEW MEXICO,,20204654,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,46,,-,7,,48,,282,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20204614,
TENNESSEE,2020,46,,-,3,,5,,38,,,-,0,,,-,,-,TENNESSEE,,20204642,POINT (-86.343226 35.842998)
CONNECTICUT,2020,46,,-,6,,18,,3,,,-,0,,,-,,-,CONNECTICUT,,20204603,POINT (-72.738288 41.575155)
MARYLAND,2020,46,,-,1,,4,,18,,,-,0,,,-,,-,MARYLAND,,20204633,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,46,,-,14,,16,,62,,,-,0,,,-,,-,SOUTH CAROLINA,,20204635,POINT (-80.864614 33.878572)
OKLAHOMA,2020,46,,-,2,,2,,6,,,-,0,,,-,,-,OKLAHOMA,,20204646,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,46,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20204665,POINT (145.725693 15.1834)
OHIO,2020,46,,-,2,,10,,60,,,-,0,,,-,,-,OHIO,,20204618,POINT (-82.70936 40.415534)
MINNESOTA,2020,46,,-,0,,,-,11,,,-,0,,,-,,-,MINNESOTA,,20204623,POINT (-94.198308 46.349153)
LOUISIANA,2020,46,,-,20,,42,,176,,,-,0,,,-,,-,LOUISIANA,,20204645,POINT (-91.840238 30.921314)
HAWAII,2020,46,,-,1,,1,,1,,,-,1,,1,,,-,HAWAII,,20204660,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,46,,-,18,,76,,414,,,-,0,,,-,,-,,SOUTH ATLANTIC,20204628,
PENNSYLVANIA,2020,46,,-,11,,24,,437,,,-,0,,,-,,-,PENNSYLVANIA,,20204613,POINT (-77.838886 40.896694)
UTAH,2020,46,,-,1,,3,,25,,,-,0,,,-,,-,UTAH,,20204655,POINT (-111.678222 39.323779)
COLORADO,2020,46,,-,6,,29,,65,,,-,0,,,-,,-,COLORADO,,20204650,POINT (-105.547832 38.998552)
VERMONT,2020,46,,-,1,,2,,2,,,-,0,,,-,,-,VERMONT,,20204608,POINT (-72.662695 44.075252)
KENTUCKY,2020,46,,-,1,,3,,6,,,-,0,,,-,,-,KENTUCKY,,20204640,POINT (-85.290484 37.526683)
PUERTO RICO,2020,46,,-,0,,,-,3,,,-,0,,,-,,-,PUERTO RICO,,20204667,POINT (-66.414655 18.215692)
MAINE,2020,46,,-,1,,1,,5,,,-,0,,,-,,-,MAINE,,20204604,POINT (-69.06137 45.117911)
VIRGINIA,2020,46,,-,1,,7,,63,,,-,0,,,-,,-,VIRGINIA,,20204636,POINT (-78.666382 37.510861)
ARIZONA,2020,46,,-,2,,9,,97,,,-,0,,,-,,-,ARIZONA,,20204649,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,46,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20204664,
WISCONSIN,2020,46,,-,1,,8,,26,,,-,0,,,-,,-,WISCONSIN,,20204619,POINT (-89.732969 44.639954)
IDAHO,2020,46,,-,0,,,-,1,,,-,0,,,-,,-,IDAHO,,20204651,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,46,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20204668,POINT (-64.840836 18.060868)
MICHIGAN,2020,46,,-,1,,4,,22,,,-,0,,,-,,-,MICHIGAN,,20204617,POINT (-85.730977 44.874798)
GEORGIA,2020,46,,-,1,,2,,47,,,-,0,,,-,,-,GEORGIA,,20204632,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,46,,-,11,,64,,130,,,-,0,,,-,,-,,NEW YORK CITY,20204612,
ARKANSAS,2020,46,,-,13,,8,,32,,,-,0,,,-,,-,ARKANSAS,,20204644,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,46,,-,1,,2,,43,,,-,0,,,-,,-,MISSISSIPPI,,20204641,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,46,,-,0,,,-,12,,,-,0,,,-,,-,SOUTH DAKOTA,,20204627,POINT (-100.230491 44.43614)
WYOMING,2020,46,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20204656,POINT (-107.55145 42.999627)
MISSOURI,2020,46,,-,22,,70,,71,,,-,0,,,-,,-,MISSOURI,,20204624,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,46,,-,19,,133,,681,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20204609,
CALIFORNIA,2020,46,,-,18,,73,,316,,,-,0,,,-,,-,CALIFORNIA,,20204659,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,46,,-,0,,,-,2,,,-,0,,,-,,-,WEST VIRGINIA,,20204637,POINT (-80.613729 38.642579)
FLORIDA,2020,46,,-,6,,21,,135,,,-,0,,,-,,-,FLORIDA,,20204631,POINT (-82.420978 28.260731)
MONTANA,2020,46,,-,1,,1,,17,,,-,0,,,-,,-,MONTANA,,20204652,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,46,,-,25,,83,,206,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20204620,
MASSACHUSETTS,2020,46,,-,3,,18,,60,,,-,0,,,-,,-,MASSACHUSETTS,,20204605,POINT (-71.481104 42.151077)
MOUNTAIN,2020,46,,-,6,,43,,249,,,-,0,,,-,,-,,MOUNTAIN,20204648,
INDIANA,2020,46,,-,1,,3,,86,,,-,0,,,-,,-,INDIANA,,20204616,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,46,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20204669,
US TERRITORIES,2020,46,,-,0,,,-,4,,,-,0,,,-,,-,,US TERRITORIES,20204663,
TOTAL,2020,47,2,,100,,595,,3386,,,-,1,,1,,,-,,TOTAL,20204770,
US RESIDENTS,2020,47,2,,100,,595,,3382,,,-,1,,1,,,-,,US RESIDENTS,20204701,
NEW HAMPSHIRE,2020,47,,-,3,,8,,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,20204706,POINT (-71.57139 43.680429)
NEW YORK,2020,47,,-,5,,36,,55,,,-,0,,,-,,-,NEW YORK,,20204711,POINT (-75.59655 42.921241)
PACIFIC,2020,47,,-,59,,82,,351,,,-,1,,1,,,-,,PACIFIC,20204757,
WEST SOUTH CENTRAL,2020,47,,-,36,,67,,981,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20204743,
NEBRASKA,2020,47,,-,1,,1,,81,,,-,0,,,-,,-,NEBRASKA,,20204725,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,47,,-,3,,14,,99,,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20204738,
NORTH DAKOTA,2020,47,,-,1,,3,,15,,,-,0,,,-,,-,NORTH DAKOTA,,20204726,POINT (-100.46931 47.446305)
NEVADA,2020,47,,-,1,,1,,1,,,-,0,,,-,,-,NEVADA,,20204753,POINT (-114.916992 39.283294)
ILLINOIS,2020,47,,-,3,,23,,88,,,-,0,,,-,,-,ILLINOIS,,20204715,POINT (-89.148632 40.124144)
IOWA,2020,47,,-,2,,7,,11,,,-,0,,,-,,-,IOWA,,20204721,POINT (-93.500061 42.074659)
TEXAS,2020,47,,-,10,,15,,751,,,-,0,,,-,,-,TEXAS,,20204747,POINT (-99.317341 31.447238)
ALASKA,2020,47,,-,0,,,-,1,,,-,0,,,-,,-,ALASKA,,20204758,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,47,,-,1,,,-,4,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20204730,POINT (-77.016275 38.904785)
WASHINGTON,2020,47,,-,55,,6,,,-,,-,0,,,-,,-,WASHINGTON,,20204762,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,47,,-,9,,47,,79,,,-,0,,,-,,-,,NEW ENGLAND,20204702,
RHODE ISLAND,2020,47,,-,1,,,-,8,,,-,0,,,-,,-,RHODE ISLAND,,20204707,POINT (-71.534637 41.572574)
OREGON,2020,47,,-,2,,2,,27,,,-,0,,,-,,-,OREGON,,20204761,POINT (-120.605279 43.940449)
DELAWARE,2020,47,,-,3,,7,,2,,,-,0,,,-,,-,DELAWARE,,20204729,POINT (-75.452394 38.994926)
ALABAMA,2020,47,,-,1,,4,,12,,,-,0,,,-,,-,ALABAMA,,20204739,POINT (-86.844516 32.756889)
KANSAS,2020,47,,-,1,,2,,5,,,-,0,,,-,,-,KANSAS,,20204722,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,47,,-,6,,19,,82,,,-,0,,,-,,-,NORTH CAROLINA,,20204734,POINT (-79.130883 35.52603)
GUAM,2020,47,,-,0,,,-,1,,,-,0,,,-,,-,GUAM,,20204766,POINT (144.653198 13.3532)
